sleep_schedule_diff,wakeup_schedule_diff,cleanliness_diff,study_hours_diff,noise_tolerance_diff,room_temperature_diff,social_energy_diff,spending_habit_diff,guest_frequency_diff,gaming_time_diff,food_preference_similarity,music_preference_similarity,study_style_similarity,communication_style_similarity,organization_similarity,workout_routine_similarity,hobby_similarity,academic_goal_similarity,room_usage_similarity,weekend_activity_similarity,gamer_vs_light_sleeper,extrovert_vs_introvert_conflict,messy_vs_clean_conflict,nightowl_vs_earlybird_conflict,loud_music_vs_noise_sensitive,guest_heavy_vs_private_person,high_spender_vs_budget_person,group_study_vs_solo_study,fitness_focused_vs_irregular,emotional_expressive_vs_reserved,compatibility_score,compatibility_label
0.49,0.26,0.67,0.37,0.50,0.15,0.34,0.41,0.09,0.11,0,1,1,0,0,1,1,1,0,1,1,0,0,1,1,0,1,0,0,1,32.90,2
0.26,0.68,0.73,0.43,0.87,0.20,0.51,0.41,0.24,0.43,1,0,1,1,0,0,0,1,1,1,0,1,1,1,1,0,1,1,1,1,23.36,2
0.22,0.16,0.58,0.75,0.78,0.15,0.47,0.32,0.73,0.74,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,54.25,3
0.12,0.20,0.91,0.42,0.52,0.33,0.49,0.13,0.11,0.41,1,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,1,59.25,3
0.65,0.64,0.26,0.60,0.71,0.21,0.51,0.43,0.68,0.13,0,1,0,1,0,0,0,0,1,1,0,0,1,1,1,1,0,1,0,0,13.74,1
0.29,0.85,0.39,0.38,0.50,0.02,0.62,0.25,0.48,0.07,0,0,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,61.75,4
0.11,0.35,0.55,0.49,0.73,0.04,0.59,0.34,0.10,0.37,1,1,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,1,44.12,3
0.54,0.33,0.59,0.34,0.25,0.69,0.10,0.68,0.67,0.54,0,0,0,1,1,0,0,0,0,1,1,1,0,0,1,0,0,1,1,1,17.06,1
0.64,0.61,0.40,0.52,0.52,0.31,0.61,0.27,0.20,0.12,0,1,1,0,1,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,94.04,5
0.59,0.61,0.55,0.35,0.32,0.17,0.31,0.16,0.44,0.04,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,1,0,1,0,0,55.66,3
0.18,0.61,0.60,0.42,0.29,0.15,0.26,0.39,0.12,0.20,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,100.00,5
0.28,0.20,0.75,0.30,0.74,0.29,0.73,0.36,0.64,0.31,1,1,0,0,0,1,1,1,0,0,0,0,1,0,1,1,0,1,0,0,91.71,5
0.22,0.30,0.43,0.21,0.63,0.11,0.65,0.59,0.62,0.10,1,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0.00,1
0.68,0.30,0.63,0.47,0.49,0.40,0.33,0.26,0.56,0.03,1,0,0,0,0,0,1,1,1,0,1,0,0,1,1,0,0,1,0,0,30.68,2
0.18,0.21,0.63,0.08,0.58,0.22,0.47,0.36,0.13,0.19,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,64.72,4
0.82,0.42,0.69,0.16,0.74,0.28,0.67,0.50,0.10,0.34,0,0,0,1,0,0,0,1,0,1,1,0,0,1,1,0,0,0,1,0,23.99,2
0.56,0.58,0.42,0.32,0.65,0.04,0.49,0.60,0.41,0.20,0,1,1,1,1,1,0,1,1,0,0,0,0,1,1,1,1,0,0,1,59.87,3
0.30,0.71,0.36,0.42,0.64,0.39,0.44,0.21,0.49,0.70,0,0,0,1,1,0,1,0,0,1,1,0,1,0,0,0,0,0,1,1,19.52,1
0.34,0.47,0.56,0.31,0.67,0.47,0.37,0.26,0.33,0.44,0,0,1,0,0,1,1,1,0,0,0,1,0,1,0,0,0,1,1,0,55.57,3
0.56,0.27,0.46,0.06,0.37,0.06,0.73,0.24,0.03,0.12,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,66.34,4
0.36,0.33,0.84,0.20,0.38,0.58,0.44,0.46,0.02,0.34,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,0,0,0,0,1,6.96,1
0.57,0.47,0.30,0.49,0.88,0.20,0.22,0.62,0.41,0.09,0,0,0,1,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,68.21,4
0.43,0.86,0.63,0.29,0.63,0.39,0.86,0.08,0.68,0.16,0,0,1,1,1,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0,18.02,1
0.49,0.69,0.46,0.17,0.66,0.38,0.25,0.43,0.59,0.42,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,51.76,3
0.35,0.17,0.80,0.61,0.61,0.30,0.45,0.59,0.01,0.03,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,73.27,4
0.43,0.58,0.29,0.36,0.86,0.32,0.50,0.34,0.49,0.03,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,48.11,3
0.35,0.26,0.37,0.22,0.58,0.50,0.07,0.39,0.34,0.12,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,0,0,0,0,0,58.51,3
0.31,0.43,0.90,0.57,0.49,0.48,0.92,0.25,0.17,0.17,0,0,0,1,1,1,0,0,1,0,0,1,1,1,0,1,1,1,0,1,4.48,1
0.18,0.64,0.25,0.34,0.80,0.33,0.23,0.37,0.39,0.14,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0,73.22,4
0.69,0.53,0.37,0.29,0.75,0.19,0.24,0.16,0.09,0.45,1,0,0,1,0,1,0,0,1,0,0,0,1,1,1,1,1,0,1,1,9.94,1
0.36,0.31,0.38,0.36,0.23,0.40,0.22,0.19,0.06,0.49,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,69.99,4
0.69,0.44,0.22,0.34,0.48,0.08,0.25,0.41,0.42,0.20,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,1,73.05,4
0.19,0.26,0.68,0.06,0.31,0.46,0.85,0.35,0.21,0.27,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,67.59,4
0.70,0.48,0.80,0.42,0.40,0.45,0.46,0.64,0.34,0.42,1,0,1,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,27.09,2
0.31,0.29,0.56,0.24,0.37,0.49,0.26,0.16,0.78,0.72,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,64.53,4
0.57,0.46,0.57,0.38,0.50,0.26,0.44,0.27,0.11,0.12,0,0,0,1,0,1,0,1,0,1,1,1,1,0,0,1,0,0,0,1,34.37,2
0.22,0.75,0.18,0.37,0.44,0.15,0.20,0.29,0.27,0.24,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,68.67,4
0.52,0.37,0.28,0.59,0.62,0.19,0.80,0.16,0.19,0.25,0,0,0,0,1,0,1,1,0,0,0,1,1,1,0,0,0,1,0,1,29.67,2
0.37,0.28,0.72,0.23,0.43,0.56,0.14,0.38,0.52,0.00,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,82.75,5
0.83,0.64,0.40,0.35,0.85,0.07,0.71,0.30,0.18,0.21,0,1,0,0,0,1,0,1,1,0,1,1,1,0,1,1,0,1,0,1,0.00,1
0.55,0.68,0.52,0.28,0.59,0.11,0.46,0.30,0.33,0.42,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0,41.40,3
0.69,0.62,0.42,0.47,0.13,0.43,0.20,0.20,0.58,0.47,1,1,0,0,1,0,1,1,0,1,0,0,0,0,1,1,0,1,0,0,70.56,4
0.60,0.17,0.39,0.47,0.17,0.12,0.65,0.38,0.34,0.27,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0.00,1
0.77,0.58,0.33,0.38,0.30,0.34,0.49,0.47,0.10,0.05,0,0,1,1,1,0,0,0,0,1,0,1,1,1,1,0,1,0,0,1,26.34,2
0.28,0.26,0.54,0.67,0.60,0.09,0.45,0.50,0.55,0.35,0,0,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,1,0,77.46,4
0.32,0.83,0.59,0.31,0.39,0.04,0.96,0.62,0.18,0.05,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,88.39,5
0.20,0.15,0.62,0.12,0.17,0.26,0.45,0.35,0.07,0.40,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,79.96,4
0.56,0.19,0.31,0.19,0.13,0.52,0.55,0.41,0.16,0.16,0,1,1,0,0,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,49.59,3
0.70,0.34,0.56,0.43,0.33,0.59,0.77,0.17,0.25,0.50,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,56.94,3
0.43,0.39,0.53,0.29,0.46,0.27,0.38,0.35,0.06,0.11,0,1,0,1,0,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,14.46,1
0.36,0.42,0.31,0.25,0.54,0.22,0.12,0.45,0.19,0.13,0,1,1,1,1,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,86.79,5
0.03,0.57,0.15,0.60,0.22,0.22,0.42,0.06,0.34,0.24,1,1,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,55.84,3
0.05,0.33,0.47,0.22,0.44,0.16,0.34,0.02,0.25,0.41,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,90.90,5
0.29,0.52,0.65,0.14,0.37,0.35,0.58,0.79,0.13,0.17,0,0,0,1,1,1,1,1,0,0,0,0,1,1,0,1,0,0,0,1,47.73,3
0.27,0.73,0.28,0.19,0.79,0.31,0.76,0.17,0.35,0.25,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,1,0,0,1,0,32.95,2
0.21,0.39,0.22,0.07,0.62,0.16,0.66,0.35,0.30,0.60,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,70.77,4
0.45,0.17,0.43,0.38,0.83,0.26,0.45,0.36,0.29,0.07,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,1,0,1,19.10,1
0.36,0.14,0.58,0.26,0.34,0.22,0.66,0.43,0.75,0.30,1,1,1,1,0,0,1,1,0,1,0,0,1,0,1,1,1,1,1,1,46.42,3
0.36,0.62,0.66,0.40,0.66,0.34,0.19,0.19,0.59,0.18,0,0,1,0,1,0,0,0,0,1,1,1,1,0,1,1,0,1,1,1,0.00,1
0.61,0.37,0.21,0.16,0.49,0.36,0.38,0.56,0.25,0.48,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,44.66,3
0.46,0.40,0.23,0.16,0.58,0.57,0.29,0.26,0.44,0.26,0,0,0,1,1,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,72.05,4
0.49,0.50,0.17,0.31,0.38,0.07,0.24,0.25,0.10,0.41,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.00,5
0.61,0.28,0.66,0.33,0.07,0.23,0.68,0.10,0.43,0.04,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,4.28,1
0.65,0.65,0.49,0.32,0.57,0.11,0.31,0.23,0.06,0.27,1,0,0,1,1,0,0,0,1,1,1,0,0,1,0,0,1,1,0,0,60.82,4
0.21,0.55,0.44,0.42,0.58,0.06,0.04,0.33,0.33,0.11,0,1,1,1,0,1,1,1,1,0,0,0,1,0,1,0,1,0,1,0,78.42,4
0.22,0.75,0.70,0.78,0.42,0.17,0.53,0.52,0.36,0.03,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,25.58,2
0.33,0.33,0.79,0.35,0.60,0.09,0.34,0.57,0.41,0.70,0,1,0,0,0,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,0.00,1
0.26,0.38,0.26,0.27,0.36,0.12,0.03,0.56,0.77,0.25,1,1,0,1,1,0,1,0,0,1,0,0,1,1,1,1,0,1,0,0,46.39,3
0.45,0.41,0.42,0.21,0.55,0.38,0.68,0.38,0.71,0.06,0,0,0,0,1,0,1,0,1,0,1,1,1,1,1,0,1,0,1,1,0.00,1
0.20,0.28,0.85,0.38,0.64,0.31,0.64,0.18,0.18,0.25,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,35.00,2
0.47,0.57,0.05,0.30,0.15,0.08,0.58,0.15,0.06,0.10,1,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,1,0,1,72.55,4
0.12,0.29,0.55,0.63,0.42,0.15,0.38,0.12,0.07,0.04,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,83.34,5
0.38,0.46,0.83,0.00,0.19,0.24,0.77,0.54,0.32,0.55,0,1,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,68.88,4
0.49,0.27,0.74,0.38,0.73,0.18,0.74,0.32,0.24,0.47,0,1,0,0,1,0,1,0,0,0,1,1,1,1,1,1,1,0,1,0,0.00,1
0.62,0.33,0.69,0.11,0.29,0.25,0.63,0.60,0.17,0.08,1,1,1,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,1,45.07,3
0.48,0.36,0.43,0.03,0.09,0.12,0.25,0.21,0.13,0.52,1,1,1,1,0,0,0,1,1,0,1,1,1,1,1,1,0,0,1,0,0.00,1
0.45,0.30,0.33,0.08,0.60,0.26,0.36,0.44,0.47,0.49,0,0,1,1,0,1,1,1,1,0,1,0,0,0,1,0,1,0,0,1,23.96,2
0.41,0.46,0.77,0.65,0.79,0.23,0.52,0.43,0.34,0.25,1,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,1,1,1,1,21.93,2
0.19,0.54,0.71,0.07,0.55,0.16,0.41,0.11,0.73,0.31,0,0,0,0,1,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,37.63,2
0.67,0.58,0.73,0.48,0.61,0.22,0.71,0.24,0.34,0.11,0,0,1,1,1,1,0,1,1,0,0,1,1,0,1,1,1,0,0,0,45.49,3
0.65,0.45,0.93,0.60,0.41,0.48,0.09,0.49,0.51,0.21,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,56.20,3
0.65,0.63,0.36,0.35,0.63,0.29,0.62,0.32,0.73,0.72,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,1,0.00,1
0.34,0.16,0.15,0.53,0.48,0.04,0.29,0.19,0.40,0.62,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,54.83,3
0.49,0.31,0.23,0.22,0.40,0.47,0.65,0.78,0.23,0.16,1,1,1,0,1,0,1,0,0,1,1,1,0,0,0,1,1,0,0,0,56.08,3
0.33,0.09,0.61,0.39,0.54,0.44,0.59,0.50,0.30,0.36,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,1,1,40.20,3
0.79,0.09,0.41,0.57,0.61,0.52,0.35,0.45,0.43,0.31,1,0,1,1,1,1,0,1,1,0,1,0,1,0,0,1,0,1,0,1,67.21,4
0.34,0.37,0.57,0.14,0.53,0.14,0.48,0.13,0.47,0.55,0,0,0,0,1,1,0,1,0,1,1,0,1,0,1,0,0,1,0,0,38.44,2
0.20,0.72,0.74,0.32,0.19,0.10,0.42,0.07,0.53,0.20,0,0,0,0,1,1,0,0,1,0,1,0,1,1,1,1,0,0,1,1,0.00,1
0.77,0.72,0.52,0.60,0.11,0.23,0.62,0.16,0.57,0.46,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,1,1,1,44.75,3
0.16,0.42,0.69,0.43,0.65,0.44,0.54,0.53,0.38,0.78,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,0,1,0,38.56,2
0.27,0.19,0.74,0.38,0.72,0.14,0.65,0.24,0.61,0.37,1,0,1,0,0,0,0,1,0,0,0,1,1,0,1,1,1,1,1,1,24.46,2
0.49,0.42,0.42,0.78,0.13,0.35,0.37,0.26,0.38,0.18,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,0.00,1
0.67,0.69,0.83,0.27,0.60,0.22,0.69,0.06,0.17,0.33,1,1,0,1,0,0,0,1,0,1,1,0,0,1,1,1,0,1,0,1,48.79,3
0.05,0.54,0.62,0.13,0.38,0.06,0.23,0.86,0.16,0.50,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,73.52,4
0.22,0.45,0.47,0.29,0.61,0.05,0.38,0.29,0.29,0.11,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,100.00,5
0.39,0.69,0.59,0.25,0.44,0.55,0.02,0.55,0.27,0.24,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,61.70,4
0.44,0.41,0.68,0.44,0.63,0.23,0.36,0.18,0.16,0.07,1,0,1,0,1,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,84.47,5
0.32,0.28,0.67,0.48,0.72,0.21,0.87,0.28,0.38,0.05,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,24.87,2
0.46,0.58,0.64,0.46,0.55,0.23,0.29,0.58,0.89,0.76,1,0,1,0,0,0,1,0,1,1,1,0,1,0,0,0,1,0,1,1,44.93,3
0.51,0.38,0.51,0.23,0.54,0.35,0.33,0.43,0.79,0.29,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,67.47,4
0.59,0.46,0.57,0.33,0.25,0.42,0.64,0.56,0.28,0.35,1,0,0,1,1,1,1,1,0,0,1,0,1,0,0,1,1,0,1,1,52.91,3
0.45,0.19,0.44,0.40,0.31,0.42,0.36,0.31,0.55,0.37,1,0,0,1,0,0,1,0,1,1,1,0,1,0,0,1,0,1,0,0,63.47,4
0.23,0.35,0.78,0.05,0.64,0.71,0.65,0.44,0.08,0.26,1,0,1,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,1,68.97,4
0.80,0.54,0.51,0.32,0.16,0.29,0.31,0.30,0.44,0.43,1,0,0,1,0,0,1,1,0,1,1,0,0,0,0,1,0,1,0,0,96.19,5
0.30,0.53,0.59,0.36,0.57,0.25,0.78,0.85,0.83,0.08,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,30.37,2
0.32,0.25,0.43,0.37,0.37,0.20,0.48,0.37,0.58,0.27,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,1,1,52.76,3
0.86,0.76,0.39,0.21,0.27,0.01,0.25,0.33,0.14,0.69,1,1,0,1,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,1,64.56,4
0.32,0.38,0.47,0.20,0.93,0.25,0.36,0.11,0.34,0.48,1,0,1,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,39.03,2
0.51,0.28,0.34,0.07,0.67,0.12,0.69,0.50,0.35,0.10,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,86.15,5
0.40,0.47,0.18,0.39,0.46,0.09,0.57,0.72,0.12,0.57,1,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,1,1,1,56.93,3
0.47,0.56,0.55,0.49,0.42,0.01,0.79,0.16,0.08,0.28,0,1,0,1,0,1,0,0,1,1,0,1,0,1,1,1,1,0,0,0,45.19,3
0.65,0.31,0.58,0.25,0.04,0.22,0.52,0.45,0.35,0.07,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,81.69,5
0.51,0.39,0.86,0.75,0.26,0.20,0.67,0.26,0.21,0.26,1,0,0,0,0,1,0,1,0,0,1,0,1,1,1,1,1,1,1,0,0.00,1
0.40,0.27,0.76,0.11,0.41,0.31,0.33,0.25,0.21,0.29,1,1,1,1,0,0,1,0,0,1,1,0,1,1,1,1,1,1,1,0,6.36,1
0.53,0.31,0.59,0.38,0.57,0.08,0.15,0.22,0.74,0.20,0,0,1,1,0,1,0,0,0,0,1,0,1,0,1,0,1,1,1,0,19.27,1
0.29,0.78,0.65,0.69,0.11,0.49,0.56,0.38,0.21,0.18,0,1,1,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,46.76,3
0.40,0.56,0.43,0.25,0.71,0.29,0.54,0.31,0.50,0.42,0,1,0,1,0,1,1,0,1,1,1,1,0,1,1,0,1,0,1,1,39.82,2
0.56,0.82,0.38,0.33,0.66,0.08,0.53,0.48,0.15,0.50,1,0,1,0,0,0,1,1,1,0,0,1,0,1,0,1,1,0,0,0,36.50,2
0.29,0.48,0.52,0.13,0.57,0.23,0.41,0.43,0.35,0.11,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,75.86,4
0.50,0.04,0.49,0.20,0.54,0.49,0.64,0.18,0.19,0.54,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,70.30,4
0.90,0.02,0.19,0.15,0.40,0.34,0.57,0.37,0.17,0.18,1,0,0,1,1,0,1,0,1,1,0,1,0,1,0,0,1,0,0,1,62.17,4
0.82,0.49,0.29,0.10,0.54,0.06,0.68,0.65,0.48,0.31,0,1,1,1,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,1,45.62,3
0.43,0.63,0.16,0.69,0.94,0.08,0.41,0.09,0.42,0.08,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0,1,0,1,0.00,1
0.33,0.46,0.39,0.10,0.27,0.18,0.27,0.22,0.21,0.23,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,83.51,5
0.78,0.49,0.66,0.27,0.50,0.79,0.24,0.19,0.43,0.11,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,62.18,4
0.46,0.47,0.19,0.18,0.35,0.66,0.10,0.56,0.40,0.23,1,0,1,1,1,1,1,0,0,1,0,1,0,0,0,1,1,1,0,0,71.12,4
0.54,0.31,0.75,0.26,0.55,0.20,0.49,0.15,0.26,0.40,1,0,1,1,1,1,1,0,0,0,1,0,1,1,0,1,0,0,0,1,39.39,2
0.60,0.54,0.49,0.17,0.84,0.15,0.66,0.37,0.57,0.24,0,1,1,0,1,0,1,1,1,1,0,0,1,1,1,1,1,0,1,0,23.40,2
0.33,0.48,0.33,0.29,0.80,0.16,0.56,0.23,0.17,0.12,1,0,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,1,0,24.90,2
0.17,0.35,0.95,0.57,0.14,0.48,0.66,0.56,0.29,0.23,1,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,58.34,3
0.74,0.83,0.14,0.21,0.75,0.30,0.40,0.62,0.14,0.27,1,0,1,0,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,63.15,4
0.48,0.78,0.39,0.43,0.14,0.51,0.46,0.25,0.40,0.09,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,87.66,5
0.05,0.62,0.24,0.26,0.81,0.37,0.40,0.40,0.18,0.31,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,1,0,46.66,3
0.67,0.30,0.83,0.43,0.41,0.13,0.68,0.16,0.42,0.58,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,47.85,3
0.94,0.56,0.69,0.50,0.47,0.04,0.70,0.87,0.22,0.54,1,0,0,0,0,1,1,0,0,1,0,0,1,1,0,1,1,1,1,0,17.28,1
0.27,0.10,0.57,0.34,0.32,0.42,0.36,0.30,0.34,0.15,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,72.16,4
0.42,0.26,0.26,0.30,0.86,0.10,0.70,0.81,0.17,0.27,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,48.95,3
0.81,0.49,0.56,0.27,0.62,0.07,0.57,0.05,0.45,0.16,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,59.04,3
0.72,0.24,0.43,0.33,0.22,0.16,0.99,0.39,0.26,0.11,0,1,1,0,1,0,0,0,0,1,0,1,1,1,0,1,0,0,0,1,38.55,2
0.30,0.88,0.23,0.76,0.48,0.22,0.61,0.27,0.45,0.55,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,57.11,3
0.48,0.33,0.96,0.68,0.23,0.11,0.48,0.35,0.27,0.17,1,0,0,1,0,0,1,1,0,1,0,1,1,0,0,0,1,0,0,1,53.91,3
0.47,0.27,0.75,0.26,0.88,0.50,0.20,0.53,0.18,0.42,0,1,1,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,31.25,2
0.16,0.32,0.15,0.48,0.25,0.05,0.15,0.26,0.71,0.29,0,1,1,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,82.61,5
0.26,0.59,0.80,0.20,0.54,0.22,0.12,0.12,0.30,0.03,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,73.34,4
0.51,0.54,0.46,0.66,0.70,0.05,0.43,0.46,0.49,0.18,0,1,0,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,75.61,4
0.69,0.77,0.69,0.43,0.26,0.16,0.70,0.38,0.07,0.51,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,1,34.31,2
0.41,0.28,0.64,0.19,0.38,0.13,0.59,0.32,0.46,0.22,0,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,1,1,0,1,52.59,3
0.68,0.28,0.96,0.14,0.34,0.66,0.68,0.31,0.33,0.30,1,0,1,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,59.06,3
0.78,0.55,0.43,0.16,0.81,0.05,0.70,0.33,0.07,0.50,0,0,1,0,0,0,1,1,0,0,1,1,0,1,1,0,1,0,0,1,49.33,3
0.47,0.67,0.55,0.18,0.64,0.52,0.69,0.19,0.27,0.60,0,0,0,1,1,0,1,0,1,1,0,1,0,0,0,0,0,1,1,0,69.92,4
0.57,0.68,0.70,0.46,0.37,0.17,0.48,0.25,0.50,0.10,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,78.31,4
0.86,0.60,0.76,0.06,0.61,0.06,0.76,0.33,0.03,0.19,0,1,0,0,0,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,24.44,2
0.60,0.79,0.75,0.42,0.52,0.06,0.50,0.31,0.20,0.21,0,0,0,1,1,0,0,1,0,0,1,1,1,1,0,0,1,0,0,1,10.96,1
0.80,0.10,0.67,0.05,0.26,0.13,0.80,0.30,0.79,0.50,1,1,1,1,0,1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,0.00,1
0.72,0.53,0.25,0.19,0.25,0.02,0.81,0.29,0.29,0.38,0,1,1,1,1,0,0,0,1,0,1,1,1,0,1,1,0,0,0,1,0.00,1
0.58,0.16,0.75,0.28,0.42,0.21,0.10,0.12,0.11,0.63,1,1,1,1,0,0,0,1,0,1,1,0,1,1,1,0,0,0,0,1,43.03,3
0.66,0.34,0.68,0.37,0.21,0.33,0.22,0.38,0.19,0.48,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,57.55,3
0.50,0.19,0.74,0.29,0.26,0.05,0.81,0.52,0.08,0.33,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,54.51,3
